Time,Displacement,Force
83.5,5.76246,58.92525
83.6,5.77082,58.82972
83.7,5.77934,59.0692
83.8,5.78775,59.02436
83.9,5.79611,59.14513
84,5.80425,59.13137
84.1,5.81239,59.26297
84.2,5.82096,59.43692
84.3,5.82943,59.45596
84.4,5.83784,59.5028
84.5,5.84604,59.49307
84.6,5.85413,59.55376
84.7,5.86248,59.68836
84.8,5.87105,59.71765
84.9,5.87946,59.84668
85,5.88782,59.71586
85.1,5.89591,59.93618
85.2,5.90405,59.96912
85.3,5.91257,60.23714
85.4,5.92104,60.28846
85.5,5.92945,60.22612
85.6,5.9377,60.31768
85.7,5.94579,60.40793
85.8,5.95414,60.39283
85.9,5.96271,60.70864
86,5.97118,60.45605
86.1,5.97948,60.63661
86.2,5.98757,60.71117
86.3,5.99577,60.77
86.4,6.00429,60.88441
86.5,6.01275,60.99223
86.6,6.02116,61.13311
86.7,6.0293,61.09692
86.8,6.03739,61.32869
86.9,6.04586,61.2361
87,6.05437,61.33979
87.1,6.06279,61.51245
87.2,6.07109,61.58067
87.3,6.07918,61.71551
87.4,6.08748,61.75651
87.5,6.096,61.79134
87.6,6.10446,61.93871
87.7,6.11282,61.89733
87.8,6.12102,62.00902
87.9,6.12911,62.07988
88,6.13752,62.14034
88.1,6.14609,62.2571
88.2,6.15445,62.16103
88.3,6.16275,62.42464
88.4,6.17073,62.33753
88.5,6.17909,62.45696
88.6,6.18771,62.58101
88.7,6.19607,62.6419
88.8,6.20448,62.7227
88.9,6.21263,62.85808
89,6.22077,62.78756
89.1,6.22929,62.85705
89.2,6.2378,63.03074
89.3,6.24616,63.18858
89.4,6.25441,62.92955
89.5,6.26245,63.37445
89.6,6.2708,63.42305
89.7,6.27932,63.56414
89.8,6.28779,63.55464
89.9,6.29609,63.59025
90,6.30429,63.72425
90.1,6.31243,63.66011
90.2,6.32089,63.75104
90.3,6.32941,63.6071
90.4,6.33782,63.8598
90.5,6.34607,63.91064
90.6,6.35411,64.03883
90.7,6.36252,64.14317
90.8,6.37109,64.03511
90.9,6.37945,64.19195
91,6.38775,64.15948
91.1,6.39589,64.28768
91.2,6.40409,64.27254
91.3,6.41261,64.52706
91.4,6.42107,64.51495
91.5,6.42948,64.66627
91.6,6.43762,64.78383
91.7,6.44577,64.83821
91.8,6.45418,64.96127
91.9,6.46275,65.0583
92,6.47111,65.13503
92.1,6.47946,64.97496
92.2,6.48755,65.11701
92.3,6.49575,65.22748
92.4,6.50432,65.4214
92.5,6.51279,65.37029
92.6,6.52114,65.48055
92.7,6.52934,65.57124
92.8,6.53737,65.70022
92.9,6.54584,65.75301
93,6.55441,65.71127
93.1,6.56282,65.86245
93.2,6.57112,65.98971
93.3,6.57916,66.11984
93.4,6.58746,66.04015
93.5,6.59598,66.16328
93.6,6.60445,66.25655
93.7,6.61286,66.34967
93.8,6.621,66.271
93.9,6.62909,66.37451
94,6.63755,66.37272
94.1,6.64607,66.56725
94.2,6.65443,66.76942
94.3,6.66273,66.79444
94.4,6.67077,66.76164
94.5,6.67912,67.03819
94.6,6.6877,66.98174
94.7,6.69611,66.99535
94.8,6.70446,67.05736
94.9,6.71266,67.17532
95,6.7208,67.19789
95.1,6.72927,67.32259
95.2,6.73773,67.50234
95.3,6.74614,67.30359
95.4,6.75445,67.67459
95.5,6.76243,67.53784
95.6,6.77084,67.83932
95.7,6.7793,67.71034
95.8,6.78777,67.80962
95.9,6.79612,67.93154
96,6.80427,67.93774
96.1,6.81236,68.05477
96.2,6.82093,67.9828
96.3,6.82939,68.03014
96.4,6.8378,68.20915
96.5,6.84605,68.02909
96.6,6.85414,68.30257
96.7,6.8625,68.33725
96.8,6.87102,68.60146
96.9,6.87948,68.42359
97,6.88778,68.56719
97.1,6.89587,68.82337
97.2,6.90407,68.72666
97.3,6.91259,68.99675
97.4,6.921,68.96672
97.5,6.92946,68.96456
97.6,6.93771,69.10789
97.7,6.94575,69.1637
97.8,6.95416,69.29289
97.9,6.96273,69.36837
98,6.97109,69.46809
98.1,6.97945,69.42355
98.2,6.98759,69.61824
98.3,6.99579,69.6116
98.4,7.0043,69.6638
98.5,7.01277,69.72327
98.6,7.02112,69.69121
98.7,7.02927,69.61972
98.8,7.03746,69.85848
98.9,7.04588,69.92772
99,7.05439,70.08477
99.1,7.0628,70.03967
99.2,7.07111,70.14378
99.3,7.07914,70.24092
99.4,7.08745,70.29935
99.5,7.09602,70.34313
99.6,7.10448,70.28265
99.7,7.11284,70.51411
99.8,7.12104,70.52361
99.9,7.12912,70.71207
100,7.13754,70.67328
